JobID,SETUP,START_RUN,START_RUN,EPSILON,TRAJECTORIES,Horizon,UCB_C,PARTICLES,FolderSize
7434825,1,1,100,0.0,300,5,25,200,66730
7434723,1,1,100,0.0,10,20,25,20,66776
7434892,1,1,100,0.0,1000,20,25,30,67071
7434719,1,1,100,0.0,10,10,25,100,66826
7434901,1,1,100,0.0,1000,30,25,100,66829
7434793,1,1,100,0.0,200,5,25,20,66811
7434872,1,1,100,0.0,500,30,25,50,66829
7434817,1,1,100,0.0,200,30,25,100,66861
7434844,1,1,100,0.0,300,30,25,50,66896
7434785,1,1,100,0.0,100,30,25,10,66763
7434731,1,1,100,0.0,10,30,25,30,66764
7434853,1,1,100,0.0,500,5,25,200,66780
7434898,1,1,100,0.0,1000,30,25,20,66891
7434738,1,1,100,0.0,50,5,25,30,66835
7434763,1,1,100,0.0,100,5,25,5,66790
7434894,1,1,100,0.0,1000,20,25,100,66912
7434848,1,1,100,0.0,500,5,25,10,66728
7434810,1,1,100,0.0,200,20,25,100,66896
7434715,1,1,100,0.0,10,10,25,10,66686
7434735,1,1,100,0.0,50,5,25,5,66743
7434880,1,1,100,0.0,1000,5,25,100,66710
7434802,1,1,100,0.0,200,10,25,50,66890
7434773,1,1,100,0.0,100,10,25,30,66897
7434831,1,1,100,0.0,300,10,25,100,66886
7434708,1,1,100,0.0,10,5,25,10,66819
7434805,1,1,100,0.0,200,20,25,5,66786
7434910,1,1,5,0.0,10,5,25,5,3435
7434891,1,1,100,0.0,1000,20,25,20,66887
7434724,1,1,100,0.0,10,20,25,30,66816
7434778,1,1,100,0.0,100,20,25,10,66886
7434837,1,1,100,0.0,300,20,25,50,66878
7434794,1,1,100,0.0,200,5,25,30,66781
7434733,1,1,100,0.0,10,30,25,100,66832
7434865,1,1,100,0.0,500,20,25,50,66955
7434838,1,1,100,0.0,300,20,25,100,66931
7434737,1,1,100,0.0,50,5,25,20,66852
7434803,1,1,100,0.0,200,10,25,100,66917
7434887,1,1,100,0.0,1000,10,25,100,66777
7434784,1,1,100,0.0,100,30,25,5,66786
7434899,1,1,100,0.0,1000,30,25,30,66861
7434820,1,1,100,0.0,300,5,25,10,66888
7434730,1,1,100,0.0,10,30,25,20,66778
7434749,1,1,100,0.0,50,20,25,5,66776
7434883,1,1,100,0.0,1000,10,25,10,66918
7434772,1,1,100,0.0,100,10,25,20,66853
7434712,1,1,100,0.0,10,5,25,100,66883
7434882,1,1,100,0.0,1000,10,25,5,66897
7434845,1,1,100,0.0,300,30,25,100,66810
7434746,1,1,100,0.0,50,10,25,50,66889
7434726,1,1,100,0.0,10,20,25,100,66780
7434767,1,1,100,0.0,100,5,25,50,66720
7434779,1,1,100,0.0,100,20,25,20,66912
7434797,1,1,100,0.0,200,5,25,200,66783
7434755,1,1,100,0.0,50,20,25,200,66929
7434890,1,1,100,0.0,1000,20,25,10,66922
7434821,1,1,100,0.0,300,5,25,20,66744
7434729,1,1,100,0.0,10,30,25,10,66756
7434753,1,1,100,0.0,50,20,25,50,66849
7434789,1,1,100,0.0,100,30,25,100,66918
7434736,1,1,100,0.0,50,5,25,10,66841
7434787,1,1,100,0.0,100,30,25,30,66861
7434867,1,1,100,0.0,500,20,25,200,66923
7434816,1,1,100,0.0,200,30,25,50,66894
7434771,1,1,100,0.0,100,10,25,10,66813
7434762,1,1,100,0.0,50,30,25,200,66933
7434830,1,1,100,0.0,300,10,25,50,66877
7434850,1,1,100,0.0,500,5,25,30,66718
7434833,1,1,100,0.0,300,20,25,5,66839
7434884,1,1,100,0.0,1000,10,25,20,66846
7434791,1,1,100,0.0,200,5,25,5,66892
7434717,1,1,100,0.0,10,10,25,30,66798
7434874,1,1,100,0.0,500,30,25,200,66876
7434847,1,1,100,0.0,500,5,25,5,66887
7434710,1,1,100,0.0,10,5,25,30,66749
7434858,1,1,100,0.0,500,10,25,50,66726
7434782,1,1,100,0.0,100,20,25,100,66935
7434775,1,1,100,0.0,100,10,25,100,66894
7434809,1,1,100,0.0,200,20,25,50,66860
7434780,1,1,100,0.0,100,20,25,30,66851
7434792,1,1,100,0.0,200,5,25,10,66748
7434721,1,1,100,0.0,10,20,25,5,66744
7434722,1,1,100,0.0,10,20,25,10,66813
7434760,1,1,100,0.0,50,30,25,50,66930
7434861,1,1,100,0.0,500,20,25,5,66884
7434822,1,1,100,0.0,300,5,25,30,66773
7434897,1,1,100,0.0,1000,30,25,10,66820
7434741,1,1,100,0.0,50,5,25,200,66803
7434896,1,1,100,0.0,1000,30,25,5,66829
7434786,1,1,100,0.0,100,30,25,20,66804
7434860,1,1,100,0.0,500,10,25,200,66876
7434716,1,1,100,0.0,10,10,25,20,66751
7434885,1,1,100,0.0,1000,10,25,30,66831
7434849,1,1,100,0.0,500,5,25,20,66838
7434768,1,1,100,0.0,100,5,25,100,66746
7434748,1,1,100,0.0,50,10,25,200,66897
7434770,1,1,100,0.0,100,10,25,5,66814
7434879,1,1,100,0.0,1000,5,25,50,66642
7434709,1,1,100,0.0,10,5,25,20,66792
7434788,1,1,100,0.0,100,30,25,50,66823
7434742,1,1,100,0.0,50,10,25,5,66774
7434841,1,1,100,0.0,300,30,25,10,66850
7434728,1,1,100,0.0,10,30,25,5,66721
7434815,1,1,100,0.0,200,30,25,30,66841
7434747,1,1,100,0.0,50,10,25,100,66840
7434752,1,1,100,0.0,50,20,25,30,66738
7434758,1,1,100,0.0,50,30,25,20,66842
7434868,1,1,100,0.0,500,30,25,5,66885
7434769,1,1,100,0.0,100,5,25,200,66755
7434807,1,1,100,0.0,200,20,25,20,66845
7434889,1,1,100,0.0,1000,20,25,5,66891
7434869,1,1,100,0.0,500,30,25,10,66868
7434859,1,1,100,0.0,500,10,25,100,66832
7434857,1,1,100,0.0,500,10,25,30,66838
7434877,1,1,100,0.0,1000,5,25,20,66812
7434740,1,1,100,0.0,50,5,25,100,66820
7434711,1,1,100,0.0,10,5,25,50,66830
7434707,1,1,100,0.0,10,5,25,5,66661
7434718,1,1,100,0.0,10,10,25,50,66881
7434851,1,1,100,0.0,500,5,25,50,66779
7434829,1,1,100,0.0,300,10,25,30,66851
7434776,1,1,100,0.0,100,10,25,200,66908
7434799,1,1,100,0.0,200,10,25,10,66885
7434814,1,1,100,0.0,200,30,25,20,66925
7434862,1,1,100,0.0,500,20,25,10,66877
7434783,1,1,100,0.0,100,20,25,200,66900
7434875,1,1,100,0.0,1000,5,25,5,66757
7434873,1,1,100,0.0,500,30,25,100,66814
7434823,1,1,100,0.0,300,5,25,50,66711
7434751,1,1,100,0.0,50,20,25,20,66890
7434759,1,1,100,0.0,50,30,25,30,66874
7434798,1,1,100,0.0,200,10,25,5,66829
7434808,1,1,100,0.0,200,20,25,30,66919
7434834,1,1,100,0.0,300,20,25,10,66844
7434761,1,1,100,0.0,50,30,25,100,66880
7434781,1,1,100,0.0,100,20,25,50,66878
7434878,1,1,100,0.0,1000,5,25,30,66886
7434866,1,1,100,0.0,500,20,25,100,66845
7434856,1,1,100,0.0,500,10,25,20,66904
7434840,1,1,100,0.0,300,30,25,5,66752
7434764,1,1,100,0.0,100,5,25,10,66777
7434790,1,1,100,0.0,100,30,25,200,66813
7434743,1,1,100,0.0,50,10,25,10,66908
7434796,1,1,100,0.0,200,5,25,100,66787
7434754,1,1,100,0.0,50,20,25,100,66933
7434886,1,1,100,0.0,1000,10,25,50,66840
7434828,1,1,100,0.0,300,10,25,20,66854
7434727,1,1,100,0.0,10,20,25,200,66818
7434739,1,1,100,0.0,50,5,25,50,66749
7434750,1,1,100,0.0,50,20,25,10,66779
7434846,1,1,100,0.0,300,30,25,200,66890
7434732,1,1,100,0.0,10,30,25,50,66835
7434863,1,1,100,0.0,500,20,25,20,66933
7434813,1,1,100,0.0,200,30,25,10,66793
7434843,1,1,100,0.0,300,30,25,30,66806
7434835,1,1,100,0.0,300,20,25,20,66946
7434871,1,1,100,0.0,500,30,25,30,66855
7434713,1,1,100,0.0,10,5,25,200,66735
7434893,1,1,100,0.0,1000,20,25,50,66861
7434777,1,1,100,0.0,100,20,25,5,66840
7434756,1,1,100,0.0,50,30,25,5,66782
7434804,1,1,100,0.0,200,10,25,200,66825
7434714,1,1,100,0.0,10,10,25,5,66679
7434744,1,1,100,0.0,50,10,25,20,66835
7434888,1,1,100,0.0,1000,10,25,200,66841
7434765,1,1,100,0.0,100,5,25,20,66740
7434839,1,1,100,0.0,300,20,25,200,66902
7434734,1,1,100,0.0,10,30,25,200,66805
7434855,1,1,100,0.0,500,10,25,10,66821
7434801,1,1,100,0.0,200,10,25,30,66873
7434854,1,1,100,0.0,500,10,25,5,66887
7434827,1,1,100,0.0,300,10,25,10,66832
7434774,1,1,100,0.0,100,10,25,50,66936
7434900,1,1,100,0.0,1000,30,25,50,66782
7434842,1,1,100,0.0,300,30,25,20,66921
7434864,1,1,100,0.0,500,20,25,30,66864
7434826,1,1,100,0.0,300,10,25,5,66832
7434795,1,1,100,0.0,200,5,25,50,66758
7434870,1,1,100,0.0,500,30,25,20,66864
7434881,1,1,100,0.0,1000,5,25,200,66762
7434832,1,1,100,0.0,300,10,25,200,66900
7434836,1,1,100,0.0,300,20,25,30,66917
7434806,1,1,100,0.0,200,20,25,10,66934
7434757,1,1,100,0.0,50,30,25,10,66857
7434725,1,1,100,0.0,10,20,25,50,66806
7434811,1,1,100,0.0,200,20,25,200,66958
7434819,1,1,100,0.0,300,5,25,5,66923
7434852,1,1,100,0.0,500,5,25,100,66750
7434766,1,1,100,0.0,100,5,25,30,66726
7434745,1,1,100,0.0,50,10,25,30,66890
7434876,1,1,100,0.0,1000,5,25,10,66897
7434812,1,1,100,0.0,200,30,25,5,66780
7434818,1,1,100,0.0,200,30,25,200,66842
7434800,1,1,100,0.0,200,10,25,20,66780
7434824,1,1,100,0.0,300,5,25,100,66837
7434720,1,1,100,0.0,10,10,25,200,66792